year,seq,name,datetime,lat,lon,pressure
1971,9,ALTHEA,1971-12-19 23:00:00+00,-10.9,159,999
1971,9,ALTHEA,1971-12-20 02:00:00+00,-11.1,158.8,999
1971,9,ALTHEA,1971-12-20 05:00:00+00,-11.4,158.6,998
1971,9,ALTHEA,1971-12-20 08:00:00+00,-11.6,158.4,998
1971,9,ALTHEA,1971-12-20 11:00:00+00,-11.9,158.3,998
1971,9,ALTHEA,1971-12-20 14:00:00+00,-12.1,158.1,998
1971,9,ALTHEA,1971-12-20 17:00:00+00,-12.4,157.9,997
1971,9,ALTHEA,1971-12-20 20:00:00+00,-12.7,157.7,996
1971,9,ALTHEA,1971-12-20 23:00:00+00,-13,157.5,996
1971,9,ALTHEA,1971-12-21 02:00:00+00,-13.3,157.3,995
1971,9,ALTHEA,1971-12-21 05:00:00+00,-13.5,157,994
1971,9,ALTHEA,1971-12-21 08:00:00+00,-13.8,156.7,993
1971,9,ALTHEA,1971-12-21 11:00:00+00,-14.1,156.5,991
1971,9,ALTHEA,1971-12-21 14:00:00+00,-14.4,156.2,989
1971,9,ALTHEA,1971-12-21 17:00:00+00,-14.7,155.8,986
1971,9,ALTHEA,1971-12-21 20:00:00+00,-15.1,155.4,984
1971,9,ALTHEA,1971-12-21 23:00:00+00,-15.4,155,980
1971,9,ALTHEA,1971-12-22 02:00:00+00,-15.7,154.5,977
1971,9,ALTHEA,1971-12-22 05:00:00+00,-16,154,973
1971,9,ALTHEA,1971-12-22 08:00:00+00,-16.3,153.4,968
1971,9,ALTHEA,1971-12-22 11:00:00+00,-16.6,152.8,962
1971,9,ALTHEA,1971-12-22 14:00:00+00,-16.8,152.2,956
1971,9,ALTHEA,1971-12-22 17:00:00+00,-16.9,151.6,952
1971,9,ALTHEA,1971-12-22 20:00:00+00,-17,151.1,952
1971,9,ALTHEA,1971-12-22 23:00:00+00,-17.1,150.5,952
1971,9,ALTHEA,1971-12-23 02:00:00+00,-17.4,150,952
1971,9,ALTHEA,1971-12-23 05:00:00+00,-17.7,149.6,952
1971,9,ALTHEA,1971-12-23 08:00:00+00,-17.9,149,952
1971,9,ALTHEA,1971-12-23 11:00:00+00,-17.9,148.7,952
1971,9,ALTHEA,1971-12-23 14:00:00+00,-18.2,148,952
1971,9,ALTHEA,1971-12-23 17:00:00+00,-18.3,147.5,952
1971,9,ALTHEA,1971-12-23 20:00:00+00,-18.6,147,952
1971,9,ALTHEA,1971-12-23 23:00:00+00,-19,146.4,952
1971,9,ALTHEA,1971-12-24 02:00:00+00,-19.4,145.9,975
1971,9,ALTHEA,1971-12-24 05:00:00+00,-19.9,145.4,988
1971,9,ALTHEA,1971-12-24 08:00:00+00,-20.2,145.2,988
1971,9,ALTHEA,1971-12-24 11:00:00+00,-20.3,145,990
1971,9,ALTHEA,1971-12-24 14:00:00+00,-20.4,144.5,990
1971,9,ALTHEA,1971-12-24 17:00:00+00,-20.4,144,990
1971,9,ALTHEA,1971-12-24 20:00:00+00,-20.4,143.4,993
1971,9,ALTHEA,1971-12-24 23:00:00+00,-20.6,143,995
1971,9,ALTHEA,1971-12-25 02:00:00+00,-20.9,142.8,996
1971,9,ALTHEA,1971-12-25 05:00:00+00,-21.1,142.7,997
1971,9,ALTHEA,1971-12-25 08:00:00+00,-21.5,142.7,997
1971,9,ALTHEA,1971-12-25 11:00:00+00,-21.9,142.7,998
1971,9,ALTHEA,1971-12-25 14:00:00+00,-22.4,142.8,998
1971,9,ALTHEA,1971-12-25 17:00:00+00,-22.9,142.8,998
1971,9,ALTHEA,1971-12-25 20:00:00+00,-23.5,143.2,997
1971,9,ALTHEA,1971-12-25 23:00:00+00,-24.1,143.6,998
1971,9,ALTHEA,1971-12-26 02:00:00+00,-24.6,144,997
1971,9,ALTHEA,1971-12-26 05:00:00+00,-24.9,145,996
1971,9,ALTHEA,1971-12-26 08:00:00+00,-25.2,145.6,995
1971,9,ALTHEA,1971-12-26 11:00:00+00,-25.4,146.2,997
1971,9,ALTHEA,1971-12-26 14:00:00+00,-25.5,146.8,996
1971,9,ALTHEA,1971-12-26 17:00:00+00,-25.7,147.3,995
1971,9,ALTHEA,1971-12-26 20:00:00+00,-25.8,147.8,996
1971,9,ALTHEA,1971-12-26 23:00:00+00,-25.8,148.6,997
1971,9,ALTHEA,1971-12-27 02:00:00+00,-25.7,149.4,996
1971,9,ALTHEA,1971-12-27 05:00:00+00,-25.7,150.6,992
1971,9,ALTHEA,1971-12-27 08:00:00+00,-25.7,151.8,992
1971,9,ALTHEA,1971-12-27 11:00:00+00,-25.7,152.7,992
1971,9,ALTHEA,1971-12-27 12:00:00+00,-25.7,153,992
1971,9,ALTHEA,1971-12-27 14:00:00+00,-25.7,153.5,988
1971,9,ALTHEA,1971-12-27 17:00:00+00,-25.6,153.9,984
1971,9,ALTHEA,1971-12-27 20:00:00+00,-25.5,154.3,980
1971,9,ALTHEA,1971-12-27 23:00:00+00,-25.3,154.5,978
1971,9,ALTHEA,1971-12-28 02:00:00+00,-25.2,155,982
1971,9,ALTHEA,1971-12-28 05:00:00+00,-25.1,155.6,982
1971,9,ALTHEA,1971-12-28 08:00:00+00,-25,156.3,984
1971,9,ALTHEA,1971-12-28 11:00:00+00,-25,157.1,984
1971,9,ALTHEA,1971-12-28 14:00:00+00,-25.1,158,984
1971,9,ALTHEA,1971-12-28 17:00:00+00,-25.3,158.9,986
1971,9,ALTHEA,1971-12-28 20:00:00+00,-25.5,159.9,988
1971,9,ALTHEA,1971-12-29 00:00:00+00,-26.8,160,990
1971,9,ALTHEA,1971-12-29 12:00:00+00,-30,163.3,990
1971,9,ALTHEA,1971-12-30 00:00:00+00,-36,164.9,990
1971,9,ALTHEA,1971-12-30 12:00:00+00,-38.6,166,990

