year,seq,name,datetime,lat,lon,pressure
1971,27,EMILY,1972-03-27 23:00:00+00,-11,157.5,1000
1971,27,EMILY,1972-03-28 02:00:00+00,-11.3,157.8,999
1971,27,EMILY,1972-03-28 05:00:00+00,-11.6,158,998
1971,27,EMILY,1972-03-28 08:00:00+00,-11.9,158.2,999
1971,27,EMILY,1972-03-28 11:00:00+00,-12.1,158.5,999
1971,27,EMILY,1972-03-28 14:00:00+00,-12.2,158.7,997
1971,27,EMILY,1972-03-28 17:00:00+00,-12.3,158.8,995
1971,27,EMILY,1972-03-28 20:00:00+00,-12.4,158.9,992
1971,27,EMILY,1972-03-28 23:00:00+00,-12.5,159,990
1971,27,EMILY,1972-03-29 02:00:00+00,-12.6,159.1,985
1971,27,EMILY,1972-03-29 05:00:00+00,-12.9,159.2,980
1971,27,EMILY,1972-03-29 08:00:00+00,-12.9,159.2,975
1971,27,EMILY,1972-03-29 11:00:00+00,-13,159.2,970
1971,27,EMILY,1972-03-29 14:00:00+00,-13.1,159.2,965
1971,27,EMILY,1972-03-29 17:00:00+00,-13.2,159.2,960
1971,27,EMILY,1972-03-29 20:00:00+00,-13.3,159.2,956
1971,27,EMILY,1972-03-29 23:00:00+00,-13.5,159.2,953
1971,27,EMILY,1972-03-30 02:00:00+00,-13.8,159.1,950
1971,27,EMILY,1972-03-30 05:00:00+00,-14.2,159,948
1971,27,EMILY,1972-03-30 08:00:00+00,-14.6,158.8,946
1971,27,EMILY,1972-03-30 11:00:00+00,-15,158.6,944
1971,27,EMILY,1972-03-30 14:00:00+00,-15.4,158.5,943
1971,27,EMILY,1972-03-30 17:00:00+00,-15.7,158.3,942
1971,27,EMILY,1972-03-30 20:00:00+00,-16.1,158.2,942
1971,27,EMILY,1972-03-30 23:00:00+00,-16.5,158,942
1971,27,EMILY,1972-03-31 02:00:00+00,-16.8,157.5,943
1971,27,EMILY,1972-03-31 05:00:00+00,-17.3,157.1,944
1971,27,EMILY,1972-03-31 08:00:00+00,-17.8,156.6,945
1971,27,EMILY,1972-03-31 11:00:00+00,-18.3,156.1,947
1971,27,EMILY,1972-03-31 14:00:00+00,-18.7,155.7,949
1971,27,EMILY,1972-03-31 17:00:00+00,-19.2,155.2,950
1971,27,EMILY,1972-03-31 20:00:00+00,-19.7,154.7,952
1971,27,EMILY,1972-03-31 23:00:00+00,-20.1,154.2,954
1971,27,EMILY,1972-04-01 02:00:00+00,-20.7,153.8,955
1971,27,EMILY,1972-04-01 05:00:00+00,-21,153.5,957
1971,27,EMILY,1972-04-01 08:00:00+00,-21.4,153.2,959
1971,27,EMILY,1972-04-01 11:00:00+00,-21.8,152.8,961
1971,27,EMILY,1972-04-01 14:00:00+00,-22.1,152.6,964
1971,27,EMILY,1972-04-01 17:00:00+00,-22.5,152.3,967
1971,27,EMILY,1972-04-01 20:00:00+00,-22.8,152,970
1971,27,EMILY,1972-04-01 23:00:00+00,-23.3,151.7,974
1971,27,EMILY,1972-04-02 02:00:00+00,-24,151.3,985
1971,27,EMILY,1972-04-02 05:00:00+00,-24.5,151.1,993
1971,27,EMILY,1972-04-02 08:00:00+00,-24.8,151.1,999
1971,27,EMILY,1972-04-02 11:00:00+00,-25.2,151.2,1002
1971,27,EMILY,1972-04-02 14:00:00+00,-25.3,151.3,1004

