year,seq,name,datetime,lat,lon,pressure
1974,5,TRACY,1974-12-21 11:30:00+00,-9.2,132.1,990
1974,5,TRACY,1974-12-21 18:00:00+00,-9.6,131.5,990
1974,5,TRACY,1974-12-21 23:30:00+00,-9.9,131.2,990
1974,5,TRACY,1974-12-22 06:00:00+00,-10.5,130.9,985
1974,5,TRACY,1974-12-22 11:30:00+00,-10.8,130.6,985
1974,5,TRACY,1974-12-22 16:00:00+00,-11.1,130.5,985
1974,5,TRACY,1974-12-22 23:30:00+00,-11.2,130.3,980
1974,5,TRACY,1974-12-23 11:30:00+00,-11.6,129.9,975
1974,5,TRACY,1974-12-23 23:30:00+00,-11.9,129.9,970
1974,5,TRACY,1974-12-24 03:30:00+00,-12,130.1,965
1974,5,TRACY,1974-12-24 09:00:00+00,-12.2,130.3,960
1974,5,TRACY,1974-12-24 11:30:00+00,-12.2,130.5,955
1974,5,TRACY,1974-12-24 15:00:00+00,-12.3,130.6,950
1974,5,TRACY,1974-12-24 17:30:00+00,-12.4,130.8,950
1974,5,TRACY,1974-12-24 18:00:00+00,-12.4,130.8,950
1974,5,TRACY,1974-12-24 23:30:00+00,-12.5,131.3,999
1974,5,TRACY,1974-12-25 02:30:00+00,-12.6,131.6,999

