year,seq,name,datetime,lat,lon,pressure
1975,3,JOAN,1975-11-30 01:00:00+00,-11.1,128.4,1005
1975,3,JOAN,1975-11-30 04:00:00+00,-11.1,128.4,1002
1975,3,JOAN,1975-11-30 07:00:00+00,-11.2,128.4,998
1975,3,JOAN,1975-11-30 10:00:00+00,-11.2,128.3,997
1975,3,JOAN,1975-11-30 13:00:00+00,-11.2,128.2,997
1975,3,JOAN,1975-11-30 16:00:00+00,-11.3,128.2,996
1975,3,JOAN,1975-11-30 19:00:00+00,-11.4,128.2,994
1975,3,JOAN,1975-11-30 22:00:00+00,-11.5,128.2,994
1975,3,JOAN,1975-12-01 01:00:00+00,-11.6,128.2,994
1975,3,JOAN,1975-12-01 04:00:00+00,-11.7,128.1,992
1975,3,JOAN,1975-12-01 07:00:00+00,-11.8,128.1,990
1975,3,JOAN,1975-12-01 10:00:00+00,-11.9,128,989
1975,3,JOAN,1975-12-01 13:00:00+00,-12.1,128,989
1975,3,JOAN,1975-12-01 16:00:00+00,-12.2,127.9,989
1975,3,JOAN,1975-12-01 19:00:00+00,-12.3,127.9,988
1975,3,JOAN,1975-12-01 22:00:00+00,-12.4,127.8,988
1975,3,JOAN,1975-12-02 01:00:00+00,-12.5,127.8,988
1975,3,JOAN,1975-12-02 04:00:00+00,-12.6,127.7,986
1975,3,JOAN,1975-12-02 07:00:00+00,-12.7,127.6,984
1975,3,JOAN,1975-12-02 10:00:00+00,-12.8,127.5,982
1975,3,JOAN,1975-12-02 13:00:00+00,-13,127.4,980
1975,3,JOAN,1975-12-02 16:00:00+00,-13.1,127.2,978
1975,3,JOAN,1975-12-02 19:00:00+00,-13.3,127,976
1975,3,JOAN,1975-12-02 22:00:00+00,-13.4,126.8,974
1975,3,JOAN,1975-12-03 01:00:00+00,-13.5,126.6,973
1975,3,JOAN,1975-12-03 04:00:00+00,-13.5,126.4,972
1975,3,JOAN,1975-12-03 07:00:00+00,-13.6,126.2,970
1975,3,JOAN,1975-12-03 10:00:00+00,-13.6,126,968
1975,3,JOAN,1975-12-03 13:00:00+00,-13.7,125.8,966
1975,3,JOAN,1975-12-03 16:00:00+00,-13.8,125.4,963
1975,3,JOAN,1975-12-03 19:00:00+00,-14,124.9,960
1975,3,JOAN,1975-12-03 22:00:00+00,-14.1,124.4,957
1975,3,JOAN,1975-12-04 01:00:00+00,-14.3,123.8,954
1975,3,JOAN,1975-12-04 04:00:00+00,-14.4,123.4,952
1975,3,JOAN,1975-12-04 07:00:00+00,-14.5,123.1,951
1975,3,JOAN,1975-12-04 10:00:00+00,-14.6,122.8,949
1975,3,JOAN,1975-12-04 13:00:00+00,-14.8,122.6,948
1975,3,JOAN,1975-12-04 16:00:00+00,-15.1,122.3,946
1975,3,JOAN,1975-12-04 19:00:00+00,-15.4,121.9,945
1975,3,JOAN,1975-12-04 22:00:00+00,-15.7,121.5,943
1975,3,JOAN,1975-12-05 01:00:00+00,-16,121.1,942
1975,3,JOAN,1975-12-05 04:00:00+00,-16,120.8,940
1975,3,JOAN,1975-12-05 07:00:00+00,-16.1,120.5,939
1975,3,JOAN,1975-12-05 10:00:00+00,-16.1,120.2,938
1975,3,JOAN,1975-12-05 13:00:00+00,-16.2,120,936
1975,3,JOAN,1975-12-05 16:00:00+00,-16.2,119.7,935
1975,3,JOAN,1975-12-05 19:00:00+00,-16.3,119.4,933
1975,3,JOAN,1975-12-05 22:00:00+00,-16.3,119.1,931
1975,3,JOAN,1975-12-06 01:00:00+00,-16.4,118.8,929
1975,3,JOAN,1975-12-06 04:00:00+00,-16.4,118.6,928
1975,3,JOAN,1975-12-06 07:00:00+00,-16.5,118.4,926
1975,3,JOAN,1975-12-06 10:00:00+00,-16.5,118.2,925
1975,3,JOAN,1975-12-06 13:00:00+00,-16.6,118,923
1975,3,JOAN,1975-12-06 16:00:00+00,-16.8,118,921
1975,3,JOAN,1975-12-06 19:00:00+00,-17,117.9,919
1975,3,JOAN,1975-12-06 22:00:00+00,-17.3,117.9,917
1975,3,JOAN,1975-12-07 01:00:00+00,-17.6,117.9,915
1975,3,JOAN,1975-12-07 04:00:00+00,-17.9,117.9,915
1975,3,JOAN,1975-12-07 07:00:00+00,-18.3,118,915
1975,3,JOAN,1975-12-07 10:00:00+00,-18.7,118,915
1975,3,JOAN,1975-12-07 13:00:00+00,-19.1,118,915
1975,3,JOAN,1975-12-07 16:00:00+00,-19.5,118,915
1975,3,JOAN,1975-12-07 19:00:00+00,-19.9,118.1,915
1975,3,JOAN,1975-12-07 22:00:00+00,-20.4,118.1,915
1975,3,JOAN,1975-12-07 22:20:00+00,-20.5,118.1,9999
1975,3,JOAN,1975-12-07 23:00:00+00,-20.5,118.1,917
1975,3,JOAN,1975-12-08 01:00:00+00,-20.8,118.1,935
1975,3,JOAN,1975-12-08 04:00:00+00,-21.1,118,947
1975,3,JOAN,1975-12-08 07:00:00+00,-21.4,117.9,957
1975,3,JOAN,1975-12-08 10:00:00+00,-21.7,117.8,965
1975,3,JOAN,1975-12-08 13:00:00+00,-22,117.7,971
1975,3,JOAN,1975-12-08 16:00:00+00,-22.3,117.6,976
1975,3,JOAN,1975-12-08 19:00:00+00,-22.7,117.4,981
1975,3,JOAN,1975-12-08 22:00:00+00,-23.1,117.2,983
1975,3,JOAN,1975-12-09 01:00:00+00,-23.4,117.2,985
1975,3,JOAN,1975-12-09 04:00:00+00,-23.9,117,987
1975,3,JOAN,1975-12-09 07:00:00+00,-24.3,116.9,990
1975,3,JOAN,1975-12-09 10:00:00+00,-24.6,116.9,991
1975,3,JOAN,1975-12-09 13:00:00+00,-24.9,116.9,992
1975,3,JOAN,1975-12-09 16:00:00+00,-25.4,117,993
1975,3,JOAN,1975-12-09 19:00:00+00,-25.9,117.1,994
1975,3,JOAN,1975-12-09 22:00:00+00,-26.4,117.3,995
1975,3,JOAN,1975-12-10 01:00:00+00,-26.9,117.5,996

