year,seq,name,datetime,lat,lon,pressure
1977,27,ALBY,1978-03-27 01:00:00+00,-13.7,115,1006
1977,27,ALBY,1978-03-27 04:00:00+00,-13.8,114.9,1006
1977,27,ALBY,1978-03-27 07:00:00+00,-13.9,114.9,1005
1977,27,ALBY,1978-03-27 10:00:00+00,-14,114.8,1005
1977,27,ALBY,1978-03-27 13:00:00+00,-14.1,114.5,1004
1977,27,ALBY,1978-03-27 16:00:00+00,-14.2,114.3,1004
1977,27,ALBY,1978-03-27 19:00:00+00,-14.5,113.9,1004
1977,27,ALBY,1978-03-27 22:00:00+00,-14.6,113.8,1003
1977,27,ALBY,1978-03-28 01:00:00+00,-14.6,113.7,1002
1977,27,ALBY,1978-03-28 04:00:00+00,-14.7,113.5,1001
1977,27,ALBY,1978-03-28 07:00:00+00,-14.7,113.3,1000
1977,27,ALBY,1978-03-28 10:00:00+00,-14.8,113.1,998
1977,27,ALBY,1978-03-28 13:00:00+00,-14.9,112.8,998
1977,27,ALBY,1978-03-28 16:00:00+00,-15,112.6,998
1977,27,ALBY,1978-03-28 19:00:00+00,-15.2,112.4,997
1977,27,ALBY,1978-03-28 22:00:00+00,-15.4,112.3,997
1977,27,ALBY,1978-03-29 01:00:00+00,-15.8,112.2,997
1977,27,ALBY,1978-03-29 04:00:00+00,-16,112.2,996
1977,27,ALBY,1978-03-29 07:00:00+00,-16.2,112.1,995
1977,27,ALBY,1978-03-29 10:00:00+00,-16.5,112,995
1977,27,ALBY,1978-03-29 13:00:00+00,-16.7,111.9,994
1977,27,ALBY,1978-03-29 16:00:00+00,-16.9,111.8,993
1977,27,ALBY,1978-03-29 19:00:00+00,-17.2,111.7,992
1977,27,ALBY,1978-03-29 22:00:00+00,-17.4,111.7,991
1977,27,ALBY,1978-03-30 01:00:00+00,-17.6,111.6,990
1977,27,ALBY,1978-03-30 04:00:00+00,-17.8,111.5,987
1977,27,ALBY,1978-03-30 07:00:00+00,-18,111.4,984
1977,27,ALBY,1978-03-30 10:00:00+00,-18.2,111.3,982
1977,27,ALBY,1978-03-30 13:00:00+00,-18.3,111.1,980
1977,27,ALBY,1978-03-30 16:00:00+00,-18.4,110.9,977
1977,27,ALBY,1978-03-30 19:00:00+00,-18.6,110.6,974
1977,27,ALBY,1978-03-30 22:00:00+00,-18.7,110.3,972
1977,27,ALBY,1978-03-31 01:00:00+00,-18.8,110.1,970
1977,27,ALBY,1978-03-31 04:00:00+00,-18.9,109.9,967
1977,27,ALBY,1978-03-31 07:00:00+00,-19,109.7,965
1977,27,ALBY,1978-03-31 10:00:00+00,-19.1,109.5,962
1977,27,ALBY,1978-03-31 13:00:00+00,-19.2,109.3,960
1977,27,ALBY,1978-03-31 16:00:00+00,-19.3,109,957
1977,27,ALBY,1978-03-31 19:00:00+00,-19.5,108.7,955
1977,27,ALBY,1978-03-31 22:00:00+00,-19.7,108.5,952
1977,27,ALBY,1978-04-01 01:00:00+00,-19.9,108.3,950
1977,27,ALBY,1978-04-01 04:00:00+00,-20.1,107.9,947
1977,27,ALBY,1978-04-01 07:00:00+00,-20.2,107.6,945
1977,27,ALBY,1978-04-01 10:00:00+00,-20.4,107.3,943
1977,27,ALBY,1978-04-01 13:00:00+00,-20.6,106.8,940
1977,27,ALBY,1978-04-01 16:00:00+00,-20.7,106.5,937
1977,27,ALBY,1978-04-01 19:00:00+00,-21,106.2,934
1977,27,ALBY,1978-04-01 22:00:00+00,-21.2,106,932
1977,27,ALBY,1978-04-02 01:00:00+00,-21.4,105.9,930
1977,27,ALBY,1978-04-02 04:00:00+00,-21.5,105.8,931
1977,27,ALBY,1978-04-02 07:00:00+00,-21.7,105.8,932
1977,27,ALBY,1978-04-02 10:00:00+00,-21.8,105.9,933
1977,27,ALBY,1978-04-02 13:00:00+00,-22,106,935
1977,27,ALBY,1978-04-02 16:00:00+00,-22.2,106.1,936
1977,27,ALBY,1978-04-02 19:00:00+00,-22.6,106.2,937
1977,27,ALBY,1978-04-02 22:00:00+00,-23.1,106.3,938
1977,27,ALBY,1978-04-03 01:00:00+00,-23.6,106.4,940
1977,27,ALBY,1978-04-03 04:00:00+00,-24.1,106.5,942
1977,27,ALBY,1978-04-03 07:00:00+00,-24.7,106.7,944
1977,27,ALBY,1978-04-03 10:00:00+00,-25.4,106.9,947
1977,27,ALBY,1978-04-03 13:00:00+00,-26.2,107.3,950
1977,27,ALBY,1978-04-03 16:00:00+00,-26.8,107.7,952
1977,27,ALBY,1978-04-03 19:00:00+00,-27.7,108.2,955
1977,27,ALBY,1978-04-03 22:00:00+00,-28.7,108.8,957
1977,27,ALBY,1978-04-04 01:00:00+00,-29.9,109.6,960
1977,27,ALBY,1978-04-04 04:00:00+00,-31,110.4,962
1977,27,ALBY,1978-04-04 06:00:00+00,-31.5,110.9,999
1977,27,ALBY,1978-04-04 07:00:00+00,-32.1,111.5,965
1977,27,ALBY,1978-04-04 10:00:00+00,-33.5,112.8,967
1977,27,ALBY,1978-04-04 13:00:00+00,-35.2,115,970
1977,27,ALBY,1978-04-04 16:00:00+00,-36.6,117.8,978
1977,27,ALBY,1978-04-04 19:00:00+00,-38.2,120.7,989
1977,27,ALBY,1978-04-04 22:00:00+00,-40,123.5,1000

