year,seq,name,datetime,lat,lon,pressure
1985,10,WINIFRED,1986-01-27 06:00:00+00,-12.9,144.8,1003
1985,10,WINIFRED,1986-01-27 12:00:00+00,-12.7,144.8,1004
1985,10,WINIFRED,1986-01-27 18:00:00+00,-12.7,145.1,1003
1985,10,WINIFRED,1986-01-28 00:00:00+00,-12.6,145.4,1004
1985,10,WINIFRED,1986-01-28 06:00:00+00,-12.6,145.7,1003
1985,10,WINIFRED,1986-01-28 12:00:00+00,-12.6,146.1,1003
1985,10,WINIFRED,1986-01-28 18:00:00+00,-12.8,146.6,1002
1985,10,WINIFRED,1986-01-29 00:00:00+00,-13,146.7,1000
1985,10,WINIFRED,1986-01-29 06:00:00+00,-13.4,146.6,998
1985,10,WINIFRED,1986-01-29 12:00:00+00,-13.8,146.6,998
1985,10,WINIFRED,1986-01-29 18:00:00+00,-14.1,146.5,995
1985,10,WINIFRED,1986-01-30 00:00:00+00,-14.4,146.5,994
1985,10,WINIFRED,1986-01-30 06:00:00+00,-14.7,146.5,991
1985,10,WINIFRED,1986-01-30 12:00:00+00,-14.9,146.7,987
1985,10,WINIFRED,1986-01-30 18:00:00+00,-15.1,147,983
1985,10,WINIFRED,1986-01-31 00:00:00+00,-15.3,147.3,978
1985,10,WINIFRED,1986-01-31 06:00:00+00,-15.7,147.7,975
1985,10,WINIFRED,1986-01-31 12:00:00+00,-16.1,147.9,973
1985,10,WINIFRED,1986-01-31 18:00:00+00,-16.4,147.7,972
1985,10,WINIFRED,1986-02-01 00:00:00+00,-16.9,147.1,968
1985,10,WINIFRED,1986-02-01 06:00:00+00,-17.5,146.5,961
1985,10,WINIFRED,1986-02-01 09:00:00+00,-17.6,146.1,957
1985,10,WINIFRED,1986-02-01 12:00:00+00,-17.8,145.7,982
1985,10,WINIFRED,1986-02-01 18:00:00+00,-18.5,145,991
1985,10,WINIFRED,1986-02-02 00:00:00+00,-19.3,144.3,995
1985,10,WINIFRED,1986-02-02 06:00:00+00,-20.2,143.5,996
1985,10,WINIFRED,1986-02-02 12:00:00+00,-20.5,142.8,997
1985,10,WINIFRED,1986-02-02 18:00:00+00,-20.6,142.3,998
1985,10,WINIFRED,1986-02-03 00:00:00+00,-20.6,141.8,999
1985,10,WINIFRED,1986-02-03 06:00:00+00,-20.8,141.4,999
1985,10,WINIFRED,1986-02-03 12:00:00+00,-21.2,141.8,1000
1985,10,WINIFRED,1986-02-03 18:00:00+00,-21.4,142.2,1002
1985,10,WINIFRED,1986-02-04 00:00:00+00,-21.6,142.5,1004
1985,10,WINIFRED,1986-02-04 06:00:00+00,-21.9,142.8,1003
1985,10,WINIFRED,1986-02-04 12:00:00+00,-22.2,142.9,1004
1985,10,WINIFRED,1986-02-04 18:00:00+00,-22.3,143.1,1003
1985,10,WINIFRED,1986-02-05 00:00:00+00,-22.3,143.3,1006
1985,10,WINIFRED,1986-02-05 06:00:00+00,-22,143.6,1003
1985,10,WINIFRED,1986-02-05 12:00:00+00,-21.5,143.9,1003
1985,10,WINIFRED,1986-02-05 18:00:00+00,-20.9,144.2,1003

