year,seq,name,datetime,lat,lon,pressure
1988,30,ORSON,1989-04-17 00:00:00+00,-10,129,1000
1988,30,ORSON,1989-04-17 06:00:00+00,-10.6,128,999
1988,30,ORSON,1989-04-17 12:00:00+00,-11.2,127.1,999
1988,30,ORSON,1989-04-17 18:00:00+00,-11.8,126.1,999
1988,30,ORSON,1989-04-18 00:00:00+00,-12.2,125,998
1988,30,ORSON,1989-04-18 06:00:00+00,-12.6,124.1,991
1988,30,ORSON,1989-04-18 12:00:00+00,-12.5,123,987
1988,30,ORSON,1989-04-18 18:00:00+00,-12.4,122.3,985
1988,30,ORSON,1989-04-19 00:00:00+00,-12.4,121.8,981
1988,30,ORSON,1989-04-19 06:00:00+00,-12.4,121.4,976
1988,30,ORSON,1989-04-19 12:00:00+00,-12.4,121,967
1988,30,ORSON,1989-04-19 18:00:00+00,-12.3,120.4,954
1988,30,ORSON,1989-04-20 00:00:00+00,-12.2,120,945
1988,30,ORSON,1989-04-20 06:00:00+00,-12.4,119.3,939
1988,30,ORSON,1989-04-20 12:00:00+00,-12.6,118.6,933
1988,30,ORSON,1989-04-20 18:00:00+00,-12.9,118.2,929
1988,30,ORSON,1989-04-21 00:00:00+00,-13.6,117.7,922
1988,30,ORSON,1989-04-21 06:00:00+00,-14.2,116.7,914
1988,30,ORSON,1989-04-21 12:00:00+00,-15,116.3,906
1988,30,ORSON,1989-04-21 18:00:00+00,-15.5,116.2,905
1988,30,ORSON,1989-04-22 00:00:00+00,-16.4,116,905
1988,30,ORSON,1989-04-22 03:00:00+00,-16.8,116.1,905
1988,30,ORSON,1989-04-22 06:00:00+00,-17.4,116.2,905
1988,30,ORSON,1989-04-22 09:00:00+00,-18,116.4,905
1988,30,ORSON,1989-04-22 12:00:00+00,-18.7,116.3,905
1988,30,ORSON,1989-04-22 15:00:00+00,-19.2,116.2,905
1988,30,ORSON,1989-04-22 18:00:00+00,-20,116.1,911
1988,30,ORSON,1989-04-22 21:00:00+00,-21,116.3,923
1988,30,ORSON,1989-04-23 00:00:00+00,-21.8,116.3,950
1988,30,ORSON,1989-04-23 03:00:00+00,-22.8,116.8,975
1988,30,ORSON,1989-04-23 06:00:00+00,-23.7,117.3,985
1988,30,ORSON,1989-04-23 09:00:00+00,-24.6,117.9,989
1988,30,ORSON,1989-04-23 12:00:00+00,-25.6,118.4,993
1988,30,ORSON,1989-04-23 15:00:00+00,-26.8,119.2,996
1988,30,ORSON,1989-04-23 18:00:00+00,-27.8,120.5,997
1988,30,ORSON,1989-04-23 21:00:00+00,-28.7,121.8,998
1988,30,ORSON,1989-04-24 00:00:00+00,-29.6,123.3,999
1988,30,ORSON,1989-04-24 03:00:00+00,-30.4,124.9,1000
1988,30,ORSON,1989-04-24 06:00:00+00,-31,126.6,1000
1988,30,ORSON,1989-04-24 09:00:00+00,-31.5,128.4,1000
1988,30,ORSON,1989-04-24 12:00:00+00,-32,130.2,1000

