year,seq,name,datetime,lat,lon,pressure
1994,12,BOBBY,1995-02-19 00:00:00+00,-11,134,1006
1994,12,BOBBY,1995-02-19 06:00:00+00,-11.5,132.7,1005
1994,12,BOBBY,1995-02-19 12:00:00+00,-12,131.3,1005
1994,12,BOBBY,1995-02-19 18:00:00+00,-12.5,130,1005
1994,12,BOBBY,1995-02-20 00:00:00+00,-13,128.7,1005
1994,12,BOBBY,1995-02-20 06:00:00+00,-13.5,127.3,1005
1994,12,BOBBY,1995-02-20 12:00:00+00,-14,125.8,1005
1994,12,BOBBY,1995-02-20 18:00:00+00,-14.5,124.3,1003
1994,12,BOBBY,1995-02-21 00:00:00+00,-15,123.2,1000
1994,12,BOBBY,1995-02-21 06:00:00+00,-15.5,122.2,1000
1994,12,BOBBY,1995-02-21 12:00:00+00,-15.9,121.3,998
1994,12,BOBBY,1995-02-21 15:00:00+00,-16.1,120.8,995
1994,12,BOBBY,1995-02-21 18:00:00+00,-16.3,120.3,990
1994,12,BOBBY,1995-02-21 21:00:00+00,-16.5,119.9,990
1994,12,BOBBY,1995-02-22 00:00:00+00,-16.6,119.5,985
1994,12,BOBBY,1995-02-22 03:00:00+00,-16.8,119.1,980
1994,12,BOBBY,1995-02-22 06:00:00+00,-17.1,118.7,980
1994,12,BOBBY,1995-02-22 09:00:00+00,-17.3,118.4,975
1994,12,BOBBY,1995-02-22 12:00:00+00,-17.5,117.9,975
1994,12,BOBBY,1995-02-22 15:00:00+00,-17.8,117.6,970
1994,12,BOBBY,1995-02-22 18:00:00+00,-18.1,117.2,965
1994,12,BOBBY,1995-02-22 21:00:00+00,-18.4,116.8,960
1994,12,BOBBY,1995-02-23 00:00:00+00,-18.4,116.5,955
1994,12,BOBBY,1995-02-23 03:00:00+00,-18.7,116.3,955
1994,12,BOBBY,1995-02-23 06:00:00+00,-19,116.1,955
1994,12,BOBBY,1995-02-23 09:00:00+00,-19.2,115.9,955
1994,12,BOBBY,1995-02-23 12:00:00+00,-19.4,115.8,955
1994,12,BOBBY,1995-02-23 15:00:00+00,-19.4,115.8,955
1994,12,BOBBY,1995-02-23 18:00:00+00,-19.7,115.7,955
1994,12,BOBBY,1995-02-23 21:00:00+00,-20,115.8,955
1994,12,BOBBY,1995-02-24 00:00:00+00,-20.2,115.8,950
1994,12,BOBBY,1995-02-24 03:00:00+00,-20.5,115.9,940
1994,12,BOBBY,1995-02-24 06:00:00+00,-21,115.7,930
1994,12,BOBBY,1995-02-24 09:00:00+00,-21.3,115.6,925
1994,12,BOBBY,1995-02-24 12:00:00+00,-21.4,115.4,930
1994,12,BOBBY,1995-02-24 15:00:00+00,-21.5,115.3,940
1994,12,BOBBY,1995-02-24 18:00:00+00,-21.7,115.2,945
1994,12,BOBBY,1995-02-24 21:00:00+00,-21.8,115.1,950
1994,12,BOBBY,1995-02-25 00:00:00+00,-22,115.2,955
1994,12,BOBBY,1995-02-25 03:00:00+00,-22.4,115.2,960
1994,12,BOBBY,1995-02-25 06:00:00+00,-22.8,115.2,970
1994,12,BOBBY,1995-02-25 09:00:00+00,-23.2,115.2,970
1994,12,BOBBY,1995-02-25 12:00:00+00,-23.6,115.3,970
1994,12,BOBBY,1995-02-25 15:00:00+00,-24,115.4,975
1994,12,BOBBY,1995-02-25 18:00:00+00,-24.4,115.5,975
1994,12,BOBBY,1995-02-25 21:00:00+00,-25,115.7,980
1994,12,BOBBY,1995-02-26 00:00:00+00,-25.5,115.8,980
1994,12,BOBBY,1995-02-26 06:00:00+00,-26.5,116.2,985
1994,12,BOBBY,1995-02-26 12:00:00+00,-27.3,117.2,985
1994,12,BOBBY,1995-02-26 18:00:00+00,-28.1,118.7,985
1994,12,BOBBY,1995-02-27 00:00:00+00,-28.8,120.3,992
1994,12,BOBBY,1995-02-27 06:00:00+00,-29.2,121,996

