year,seq,name,datetime,lat,lon,pressure
2005,17,LARRY,2006-03-14 12:00:00+00,-12.5,158,1007
2005,17,LARRY,2006-03-14 18:00:00+00,-12.5,158,1003
2005,17,LARRY,2006-03-15 00:00:00+00,-12.5,158,1005
2005,17,LARRY,2006-03-15 06:00:00+00,-12.5,158.7,1001
2005,17,LARRY,2006-03-15 12:00:00+00,-12.5,159.4,1003
2005,17,LARRY,2006-03-15 18:00:00+00,-13.4,159.4,1003
2005,17,LARRY,2006-03-16 00:00:00+00,-14.1,159.7,1005
2005,17,LARRY,2006-03-16 06:00:00+00,-14.4,160,1000
2005,17,LARRY,2006-03-16 12:00:00+00,-14.7,160,1001
2005,17,LARRY,2006-03-16 18:00:00+00,-15,160.3,1000
2005,17,LARRY,2006-03-17 00:00:00+00,-15.2,160,1000
2005,17,LARRY,2006-03-17 06:00:00+00,-15.7,159.6,998
2005,17,LARRY,2006-03-17 12:00:00+00,-16.1,159,999
2005,17,LARRY,2006-03-17 18:00:00+00,-16.3,158,995
2005,17,LARRY,2006-03-18 00:00:00+00,-17.2,156.6,985
2005,17,LARRY,2006-03-18 06:00:00+00,-17.1,155.4,975
2005,17,LARRY,2006-03-18 12:00:00+00,-17.2,154.6,970
2005,17,LARRY,2006-03-18 18:00:00+00,-17.5,152.8,970
2005,17,LARRY,2006-03-19 00:00:00+00,-17.7,151.2,970
2005,17,LARRY,2006-03-19 06:00:00+00,-17.6,149.7,955
2005,17,LARRY,2006-03-19 12:00:00+00,-17.5,148.3,940
2005,17,LARRY,2006-03-19 18:00:00+00,-17.5,146.8,945
2005,17,LARRY,2006-03-19 20:00:00+00,-17.6,146.4,940
2005,17,LARRY,2006-03-19 21:00:00+00,-17.5,146,999
2005,17,LARRY,2006-03-19 22:00:00+00,-17.5,145.8,955
2005,17,LARRY,2006-03-20 00:00:00+00,-17.5,145.3,965
2005,17,LARRY,2006-03-20 06:00:00+00,-17.8,143.8,980
2005,17,LARRY,2006-03-20 12:00:00+00,-18.7,142.2,990
2005,17,LARRY,2006-03-20 18:00:00+00,-19,140.8,997

