year,seq,name,datetime,lat,lon,pressure
2006,14,GEORGE,2007-02-27 00:00:00+00,-12.1,135.2,1002
2006,14,GEORGE,2007-02-27 06:00:00+00,-12.1,134.6,998
2006,14,GEORGE,2007-02-27 12:00:00+00,-12.2,134.8,1001
2006,14,GEORGE,2007-02-27 18:00:00+00,-12.2,134.8,998
2006,14,GEORGE,2007-02-28 00:00:00+00,-12.3,134.5,999
2006,14,GEORGE,2007-02-28 06:00:00+00,-12.2,134.9,997
2006,14,GEORGE,2007-02-28 12:00:00+00,-12.3,134.9,997
2006,14,GEORGE,2007-02-28 18:00:00+00,-12.4,135.7,994
2006,14,GEORGE,2007-03-01 00:00:00+00,-12.6,135.4,997
2006,14,GEORGE,2007-03-01 06:00:00+00,-12.9,135.5,996
2006,14,GEORGE,2007-03-01 12:00:00+00,-13,135,997
2006,14,GEORGE,2007-03-01 18:00:00+00,-13.1,134.2,995
2006,14,GEORGE,2007-03-02 00:00:00+00,-13.1,133.8,998
2006,14,GEORGE,2007-03-02 06:00:00+00,-13,133.2,995
2006,14,GEORGE,2007-03-02 12:00:00+00,-13.1,132.6,997
2006,14,GEORGE,2007-03-02 18:00:00+00,-13.2,131.4,995
2006,14,GEORGE,2007-03-03 00:00:00+00,-13.4,130.7,997
2006,14,GEORGE,2007-03-03 06:00:00+00,-13.9,130.1,996
2006,14,GEORGE,2007-03-03 12:00:00+00,-14.1,129.4,994
2006,14,GEORGE,2007-03-03 18:00:00+00,-14.5,129.2,989
2006,14,GEORGE,2007-03-04 00:00:00+00,-14.6,128.5,982
2006,14,GEORGE,2007-03-04 06:00:00+00,-14.4,127.9,986
2006,14,GEORGE,2007-03-04 12:00:00+00,-14.4,127.3,993
2006,14,GEORGE,2007-03-04 18:00:00+00,-14.3,126.4,986
2006,14,GEORGE,2007-03-05 00:00:00+00,-14.5,125.5,990
2006,14,GEORGE,2007-03-05 06:00:00+00,-14.5,124.9,982
2006,14,GEORGE,2007-03-05 12:00:00+00,-14.5,124.1,980
2006,14,GEORGE,2007-03-05 18:00:00+00,-14.5,123.2,976
2006,14,GEORGE,2007-03-06 00:00:00+00,-14.5,122.4,976
2006,14,GEORGE,2007-03-06 06:00:00+00,-14.5,121.6,974
2006,14,GEORGE,2007-03-06 12:00:00+00,-14.6,120.9,978
2006,14,GEORGE,2007-03-06 18:00:00+00,-14.9,120.2,978
2006,14,GEORGE,2007-03-07 00:00:00+00,-15,119.6,974
2006,14,GEORGE,2007-03-07 06:00:00+00,-15.4,119.3,964
2006,14,GEORGE,2007-03-07 12:00:00+00,-16.1,119.3,956
2006,14,GEORGE,2007-03-07 18:00:00+00,-16.8,119.3,952
2006,14,GEORGE,2007-03-08 00:00:00+00,-17.7,119.3,930
2006,14,GEORGE,2007-03-08 06:00:00+00,-18.8,119,924
2006,14,GEORGE,2007-03-08 12:00:00+00,-19.9,119.1,902
2006,14,GEORGE,2007-03-08 18:00:00+00,-20.9,118.8,950
2006,14,GEORGE,2007-03-09 00:00:00+00,-21.6,119,966
2006,14,GEORGE,2007-03-09 06:00:00+00,-22.1,119.5,978
2006,14,GEORGE,2007-03-09 12:00:00+00,-22.6,120.4,984
2006,14,GEORGE,2007-03-09 18:00:00+00,-23.1,121,986
2006,14,GEORGE,2007-03-10 00:00:00+00,-23.6,121.7,988
2006,14,GEORGE,2007-03-10 06:00:00+00,-24,122,986
2006,14,GEORGE,2007-03-10 12:00:00+00,-24.4,122.3,986
2006,14,GEORGE,2007-03-10 18:00:00+00,-24.9,122.9,988
2006,14,GEORGE,2007-03-11 00:00:00+00,-25.2,123.6,990
2006,14,GEORGE,2007-03-11 06:00:00+00,-25.6,124.2,992
2006,14,GEORGE,2007-03-11 12:00:00+00,-25.9,124.6,994
2006,14,GEORGE,2007-03-11 18:00:00+00,-26.2,125,996
2006,14,GEORGE,2007-03-12 00:00:00+00,-27,124.2,1000
2006,14,GEORGE,2007-03-12 06:00:00+00,-27.4,124.4,1000

