NAME,DISTURBANCE_ID,TM,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,CENTRAL_PRES_UNCERTAINTY,MN_RADIUS_OUTER_ISOBAR,MN_RADIUS_GF_WND,MN_RADIUS_SF_WIND,MN_RADIUS_HF_WIND,MN_RADIUS_MAX_WIND,MAX_WIND_SPD,MAX_WIND_GUST
Dominic,AU200809_08U,2009/01/27 0:00,2,2,30,-22,115.4,980,,111,55,28,0,19,25.7,36
Dominic,AU200809_08U,2009/01/27 6:00,2,2,30,-22.5,115.5,987,,167,37,0,0,19,20.6,28.3
Dominic,AU200809_08U,2009/01/27 12:00,2,2,60,-24.07,116.05,997,,111,0,0,0,,15.4,23.2
Dominic,AU200809_08U,2009/01/27 18:00,2,2,60,-25.22,116.22,999,,111,0,0,0,,12.9,23.2
Ellie,AU200809_09U,2009/01/31 0:00,20,1,20,-16.29,148.29,996,,185,0,0,0,,12.9,23.2
Ellie,AU200809_09U,2009/01/31 6:00,20,1,20,-16.37,148.07,995,,185,0,0,0,,15.4,23.2
Ellie,AU200809_09U,2009/01/31 12:00,20,1,30,-16.47,147.84,991,,185,53,0,0,37,18,25.7
Ellie,AU200809_09U,2009/01/31 18:00,20,1,30,-16.59,147.6,988,,185,70,0,0,33,20.6,28.3
Ellie,AU200809_09U,2009/02/01 0:00,20,1,30,-17.18,147.04,991,,185,70,0,0,33,20.6,28.3
Ellie,AU200809_09U,2009/02/01 6:00,20,1,30,-17.69,146.61,990,,148,66,0,0,33,20.6,28.3
Ellie,AU200809_09U,2009/02/01 12:00,20,1,30,-17.86,146.18,991,,148,55,0,0,33,18,25.7
Ellie,AU200809_09U,2009/02/01 13:00,20,3,30,-17.89,146.08,990,,148,55,0,0,33,18,25.7
Ellie,AU200809_09U,2009/02/01 18:00,20,2,20,-18.05,145.55,995,,148,0,0,0,,15.4,20.6
Freddy,AU200809_10U,2009/02/03 6:00,2,2,10,-15.5,125.5,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/03 12:00,2,4,10,-15.47,122.5,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/03 18:00,2,1,10,-15.34,121.55,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/04 0:00,2,1,10,-15.2,120.6,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/04 6:00,2,1,10,-15,120.3,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/04 12:00,2,1,10,-15,119,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/04 18:00,2,1,10,-15.59,118.78,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/05 0:00,2,1,10,-16,118.41,998,,167,0,0,0,,10.3,20.6
Freddy,AU200809_10U,2009/02/05 6:00,2,1,20,-16.2,117.75,998,,167,0,0,0,,10.3,23.2
Freddy,AU200809_10U,2009/02/05 12:00,2,1,20,-16.2,116.66,998,,167,0,0,0,,10.3,23.2
Freddy,AU200809_10U,2009/02/05 18:00,2,1,20,-16.28,115.18,997,,167,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/06 0:00,2,1,20,-16.19,114.29,996,,167,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/06 6:00,2,1,20,-16,114.1,994,,167,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/06 12:00,2,1,20,-16,113.81,994,,167,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/06 18:00,2,1,20,-16,113.52,992,,167,0,0,0,,15.4,23.2
Freddy,AU200809_10U,2009/02/07 0:00,2,1,20,-16,113.25,994,,222,0,0,0,,15.4,23.2
Freddy,AU200809_10U,2009/02/07 6:00,2,1,20,-16.44,112.76,995,,222,0,0,0,,15.4,23.2
Freddy,AU200809_10U,2009/02/07 12:00,2,1,20,-16.27,111.84,995,,222,0,0,0,,15.4,23.2
Freddy,AU200809_10U,2009/02/07 18:00,2,1,30,-16.1,111.05,993,,222,70,74,0,56,18,25.7
Freddy,AU200809_10U,2009/02/08 0:00,2,1,30,-16.08,110.28,992,,407,70,74,0,56,23.2,33.4
Freddy,AU200809_10U,2009/02/08 6:00,2,1,30,-16.38,109.48,992,,407,70,74,0,56,23.2,33.4
Freddy,AU200809_10U,2009/02/08 12:00,2,1,30,-16.62,108.59,992,,407,70,74,0,56,23.2,33.4
Freddy,AU200809_10U,2009/02/08 18:00,2,1,30,-16.99,107.73,992,,407,85,88,0,56,23.2,33.4
Freddy,AU200809_10U,2009/02/09 0:00,2,1,30,-17.72,106.93,992,,407,85,88,0,56,23.2,33.4
Freddy,AU200809_10U,2009/02/09 6:00,2,1,30,-18.27,105.71,993,,407,81,81,0,74,20.6,28.3
Freddy,AU200809_10U,2009/02/09 12:00,2,1,21,-18.92,104.49,996,,407,55,0,0,,18,25.7
Freddy,AU200809_10U,2009/02/09 18:00,2,1,20,-19.34,103.28,999,,407,0,0,0,,15.4,23.2
Freddy,AU200809_10U,2009/02/10 0:00,2,1,20,-19.83,102.21,998,,407,0,0,0,,15.4,23.2
Freddy,AU200809_10U,2009/02/10 6:00,2,1,20,-20.61,100.45,999,,407,0,0,0,,15.4,23.2
Freddy,AU200809_10U,2009/02/10 12:00,2,1,20,-20.89,100.01,999,,407,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/10 18:00,2,1,20,-21.15,99,1001,,407,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/11 0:00,2,1,20,-21.48,97.97,1000,,407,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/11 6:00,2,1,20,-21.68,97.36,999,,407,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/11 12:00,2,1,20,-21.5,96.9,999,,407,0,0,0,,12.9,23.2
Freddy,AU200809_10U,2009/02/11 18:00,2,1,20,-21.05,96.27,1000,,407,0,0,0,,12.9,23.2
