OBJECTID,fire_id,fire_name,ignition_date,area_ha,perim_km,state,Shape__Area,Shape__Length
76182,,,1939/01/01 00:00:00+00,24789,110,ACT (Australian Capital Territory),0.024550379,1.090293817
111748,,,1939/01/01 00:00:00+00,91,4,ACT (Australian Capital Territory),9.03E-05,0.035279278
240776,,,1939/01/01 00:00:00+00,80,3,ACT (Australian Capital Territory),7.91E-05,0.032928471
250406,,,1939/01/01 00:00:00+00,132,4,ACT (Australian Capital Territory),0.000131528,0.041382282
263907,,,1939/01/01 00:00:00+00,19536,130,ACT (Australian Capital Territory),0.019411434,1.310179231
1440,999,,1939/01/01 00:00:00+00,16651,62,VIC (Victoria),0.016869196,0.637369965
3943,999,,1939/01/01 00:00:00+00,45619,90,VIC (Victoria),0.046533474,0.916890653
9902,999,,1939/01/01 00:00:00+00,32942,104,VIC (Victoria),0.033979678,1.141734031
10882,999,,1939/01/01 00:00:00+00,12816,53,VIC (Victoria),0.013271838,0.562012053
21718,999,,1939/01/01 00:00:00+00,8256,37,VIC (Victoria),0.008427749,0.378518386
30348,999,,1939/01/01 00:00:00+00,986,14,VIC (Victoria),0.001005823,0.143001376
43832,999,,1939/01/01 00:00:00+00,894,13,VIC (Victoria),0.000910254,0.126639598
51861,999,,1939/01/01 00:00:00+00,3901,36,VIC (Victoria),0.00401565,0.341551205
67265,999,,1939/01/01 00:00:00+00,13015,80,VIC (Victoria),0.013235004,0.805267955
75657,999,,1939/01/01 00:00:00+00,5744,36,VIC (Victoria),0.005828929,0.360694687
109170,999,,1939/01/01 00:00:00+00,2733,21,VIC (Victoria),0.002780862,0.217882234
110211,999,,1939/01/01 00:00:00+00,4256,32,VIC (Victoria),0.00434281,0.329124052
110527,999,,1939/01/01 00:00:00+00,288226,286,VIC (Victoria),0.29597534,2.903641028
112321,999,,1939/01/01 00:00:00+00,4528,38,VIC (Victoria),0.004620672,0.381038879
131134,999,,1939/01/01 00:00:00+00,35524,79,VIC (Victoria),0.036380809,0.803544296
133747,999,,1939/01/01 00:00:00+00,482,8,VIC (Victoria),0.000491974,0.084777724
141830,999,,1939/01/01 00:00:00+00,220120,272,VIC (Victoria),0.227444429,2.84355972
146342,999,,1939/01/01 00:00:00+00,10494,48,VIC (Victoria),0.010721351,0.513883158
148691,999,,1939/01/01 00:00:00+00,1299,14,VIC (Victoria),0.001329043,0.143320698
155595,999,,1939/01/01 00:00:00+00,3432,30,VIC (Victoria),0.003535473,0.305871447
155764,999,,1939/01/01 00:00:00+00,63793,101,VIC (Victoria),0.064830258,1.003648132
157579,999,,1939/01/01 00:00:00+00,17047,68,VIC (Victoria),0.017281525,0.685556604
